Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.04748884773742125, 0.008492376438222968)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847737381386, 0.00849237643867691)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773721729, 0.008492376438150526)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847736977605, 0.00849237643902609)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773257088, 0.008492376438094973)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847737463424, 0.008492376438297006)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773673795, 0.008492376438118343)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773729414, 0.008492376436571775)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773750363, 0.008492376438240468)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847761618325, 0.008492376436832198)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884775570419, 0.00849237643749605)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847734187184, 0.008492376434651158)   (rho_normalized calls: 147) 


Obj funtion: (0.045577904148877524, 0.007908014855744348)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790418223835, 0.007908014830331787)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790410516117, 0.007908014581023713)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790397836867, 0.00790801498200449)   (rho_normalized calls: 147) 


Obj funtion: (0.045577903818417975, 0.007908014878060428)   (rho_normalized calls: 147) 


Obj funtion: (0.045577904741684834, 0.00790801464736491)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790471547106, 0.007908015212972845)   (rho_normalized calls: 147) 


Obj funtion: (0.045577904149721515, 0.007908014855101446)   (rho_normalized calls: 147) 


Obj funtion: (0.0455779041538643, 0.007908014862008171)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790415157423, 0.007908014854552968)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790415935002, 0.007908014861345063)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790419926962, 0.00790801485624059)   (rho_normalized calls: 147) 


Obj funtion: (0.04557790415291709, 0.007908014858318477)   (rho_normalized calls: 147) 


Obj funtion: (0.045577904143810716, 0.007908014859603983)   (rho_normalized calls: 147) 


